"atomicNumber","symbol","name","radii","colour"
1,"H","Hydrogen",31,"#ffffff"
2,"He","Helium",28,"#73fbfd"
3,"Li","Lithium",128,"#6b2ff5"
4,"Be","Beryllium",96,"#33741f"
5,"B","Boron",84,"#f4ac80"
6,"C","Carbon",76,"#222222"
7,"N","Nitrogen",71,"#1b43f5"
8,"O","Oxygen",66,"#eb3c25"
9,"F","Fluorine",57,"#70ea4e"
10,"Ne","Neon",58,"#73fbfd"
11,"Na","Sodium",166,"#6b2ff5"
12,"Mg","Magnesium",141,"#33741f"
13,"Al","Aluminium",121,"#d081f8"
14,"Si","Silicon",111,"#d081f8"
15,"P","Phosphorus",107,"#f29b38"
16,"S","Sulfur",105,"#fce454"
17,"Cl","Chlorine",102,"#70ea4e"
18,"Ar","Argon",106,"#73fbfd"
19,"K","Potassium",203,"#6b2ff5"
20,"Ca","Calcium",176,"#33741f"
21,"Sc","Scandium",170,"#d081f8"
22,"Ti","Titanium",160,"#999999"
23,"V","Vanadium",153,"#d081f8"
24,"Cr","Chromium",139,"#d081f8"
25,"Mn","Manganese",139,"#d081f8"
26,"Fe","Iron",132,"#d17b2c"
27,"Co","Cobalt",126,"#d081f8"
28,"Ni","Nickel",124,"#d081f8"
29,"Cu","Copper",132,"#d081f8"
30,"Zn","Zinc",122,"#d081f8"
31,"Ga","Gallium",122,"#d081f8"
32,"Ge","Germanium",120,"#d081f8"
33,"As","Arsenic",119,"#d081f8"
34,"Se","Selenium",120,"#d081f8"
35,"Br","Bromine",120,"#8e2c13"
36,"Kr","Krypton",116,"#73fbfd"
37,"Rb","Rubidium",220,"#6b2ff5"
38,"Sr","Strontium",195,"#33741f"
39,"Y","Yttrium",190,"#d081f8"
40,"Zr","Zirconium",175,"#d081f8"
41,"Nb","Niobium",164,"#d081f8"
42,"Mo","Molybdenum",154,"#d081f8"
43,"Tc","Technetium",147,"#d081f8"
44,"Ru","Ruthenium",146,"#d081f8"
45,"Rh","Rhodium",142,"#d081f8"
46,"Pd","Palladium",139,"#d081f8"
47,"Ag","Silver",145,"#d081f8"
48,"Cd","Cadmium",144,"#d081f8"
49,"In","Indium",142,"#d081f8"
50,"Sn","Tin",139,"#d081f8"
51,"Sb","Antimony",139,"#d081f8"
52,"Te","Tellurium",138,"#d081f8"
53,"I","Iodine",139,"#5c22b4"
54,"Xe","Xenon",140,"#73fbfd"
55,"Cs","Cesium",244,"#6b2ff5"
56,"Ba","Barium",215,"#33741f"
57,"La","Lanthanum",207,"#d081f8"
58,"Ce","Cerium",204,"#d081f8"
59,"Pr","Praseodymium",203,"#d081f8"
60,"Nd","Neodymium",201,"#d081f8"
61,"Pm","Promethium",199,"#d081f8"
62,"Sm","Samarium",198,"#d081f8"
63,"Eu","Europium",198,"#d081f8"
64,"Gd","Gadolinium",196,"#d081f8"
65,"Tb","Terbium",194,"#d081f8"
66,"Dy","Dysprosium",192,"#d081f8"
67,"Ho","Holmium",192,"#d081f8"
68,"Er","Erbium",189,"#d081f8"
69,"Tm","Thulium",190,"#d081f8"
70,"Yb","Ytterbium",187,"#d081f8"
71,"Lu","Lutetium",175,"#d081f8"
72,"Hf","Hafnium",187,"#d081f8"
73,"Ta","Tantalum",170,"#d081f8"
74,"W","Tungsten",162,"#d081f8"
75,"Re","Rhenium",151,"#d081f8"
76,"Os","Osmium",144,"#d081f8"
77,"Ir","Iridium",141,"#d081f8"
78,"Pt","Platinum",136,"#d081f8"
79,"Au","Gold",136,"#d081f8"
80,"Hg","Mercury",132,"#d081f8"
81,"Tl","Thallium",145,"#d081f8"
82,"Pb","Lead",146,"#d081f8"
83,"Bi","Bismuth",148,"#d081f8"
84,"Po","Polonium",140,"#d081f8"
85,"At","Astatine",150,"#d081f8"
86,"Rn","Radon",150,"#d081f8"
87,"Fr","Francium",260,"#6b2ff5"
88,"Ra","Radium",221,"#33741f"
89,"Ac","Actinium",215,"#d081f8"
90,"Th","Thorium",206,"#d081f8"
91,"Pa","Protactinium",200,"#d081f8"
92,"U","Uranium",196,"#d081f8"
93,"Np","Neptunium",190,"#d081f8"
94,"Pu","Plutonium",187,"#d081f8"
95,"Am","Americium",180,"#d081f8"
96,"Cm","Curium",169,"#d081f8"
97,"Bk","Berkelium",200,"#d081f8"
98,"Cf","Californium",200,"#d081f8"
99,"Es","Einsteinium",200,"#d081f8"
100,"Fm","Fermium",200,"#d081f8"
101,"Md","Mendelevium",200,"#d081f8"
102,"No","Nobelium",200,"#d081f8"
103,"Lr","Lawrencium",200,"#d081f8"
104,"Rf","Rutherfordium",200,"#d081f8"
105,"Db","Dubnium",200,"#d081f8"
106,"Sg","Seaborgium",200,"#d081f8"
107,"Bh","Bohrium",200,"#d081f8"
108,"Hs","Hassium",200,"#d081f8"
109,"Mt","Meitnerium",200,"#d081f8"
110,"Ds","Darmstadtium",200,"#d081f8"
111,"Rg","Roentgenium",200,"#d081f8"
112,"Cn","Copernicium",200,"#d081f8"
113,"Nh","Nihonium",200,"#d081f8"
114,"Fl","Flerovium",200,"#d081f8"
115,"Mc","Moscovium",200,"#d081f8"
116,"Lv","Livermorium",200,"#d081f8"
117,"Ts","Tennessine",200,"#d081f8"
118,"Og","Oganesson",200,"#d081f8"
